week,client_id,industry,plan_type,mrr,payment_status,support_tickets,active_flag,new_client,churned
2026-W30,CLT-1000,Logistics,Pro,898.42,Late,1,1,0,0
2026-W30,CLT-1001,Finance,Enterprise,3178.72,Late,5,0,0,0
2026-W30,CLT-1002,Logistics,Pro,827.83,Paid,5,1,0,0
2026-W30,CLT-1003,eCommerce,Basic,$324.45,Paid,2,0,0,0
2026-W30,CLT-1004,Finance,Basic,267.36,late,1,1,0,0
2026-W30,CLT-1005,Education,Enterprise,3211.11,Paid,2,1,0,0
2026-W30,CLT-1006,Healthcare,Basic,332.68,Paid,4,1,0,0
2026-W30,CLT-1007,Healthcare,Pro,1090.48,Paid,1,1,0,0
2026-W30,CLT-1008,Logistics,Pro,879.18,Paid,2,1,0,0
2026-W30,CLT-1009,Education,Basic,363.24,Late,4,1,1,0
2026-W30,CLT-1010,Logistics,Basic,349.88,Late,2,1,0,0
2026-W30,CLT-1011,Finance,Basic,341.9,late,1,1,0,0
2026-W30,CLT-1012,SaaS,Basic,383.33,Paid,2,1,0,0
2026-W30,CLT-1013,Finance,Basic,313.52,Paid,1,1,0,0
2026-W30,CLT-1014,Real Estate,Pro,933.11,Paid,4,1,0,0
2026-W30,CLT-1015,eCommerce,Pro,1045.31,Paid,0,0,0,1
2026-W30,CLT-1016,eCommerce,Enterprise,3064.44,Paid,0,1,0,0
2026-W30,CLT-1017,Real Estate,Pro,900.71,Paid,2,1,0,0
2026-W30,CLT-1018,Healthcare,Pro,1036.21,Paid,3,1,0,0
2026-W30,CLT-1019,Finance,Enterprise,2360.17,Paid,1,1,1,0
2026-W30,CLT-1020,Real Estate,Basic,329.48,Paid,0,1,0,0
2026-W30,CLT-1021,Finance,Basic,358.84,Paid,2,1,0,0
2026-W30,CLT-1022,Logistics,Pro,791.45,Paid,0,1,0,0
2026-W30,CLT-1023,Healthcare,Basic,353.26,Paid,2,0,0,0
2026-W30,CLT-1024,Healthcare,Basic,257.08,Late,3,1,0,0
2026-W30,CLT-1025,Finance,Pro,1153.13,Paid,4,1,0,0
2026-W30,CLT-1026,Logistics,Basic,318.27,Paid,0,1,0,0
2026-W30,CLT-1027,Healthcare,Enterprise,2585.2,Paid,1,0,0,0
2026-W30,CLT-1028,Education,Pro,"$1,056.78",Late,0,1,0,0
2026-W30,CLT-1029,Healthcare,Pro,976.94,Paid,1,1,0,1
2026-W30,CLT-1030,eCommerce,enterprise,353.66,Paid,4,1,0,0
2026-W30,CLT-1031,Education,Basic,266.44,Late,2,1,0,0
2026-W30,CLT-1032,SaaS,Basic,330.98,Paid,2,1,0,0
2026-W30,CLT-1033,Real Estate,Basic,330.34,Paid,1,1,0,0
2026-W30,CLT-1034,Healthcare,Pro,"$1,142.51",Paid,3,1,0,0
2026-W30,CLT-1035,Real Estate,Basic,260.35,Overdue,1,1,0,0
2026-W30,CLT-1036,eCommerce,Basic,316.13,Paid,4,1,0,0
2026-W30,CLT-1037,Healthcare,Basic,340.19,Paid,3,0,0,0
2026-W30,CLT-1038,SaaS,enterprise,988.05,Overdue,1,1,0,0
2026-W30,CLT-1039,Real Estate,Basic,265.01,Paid,3,1,0,0
2026-W30,CLT-1040,Education,Basic,335.09,Paid,0,0,0,0
2026-W30,CLT-1041,SaaS,Enterprise,,Paid,1,0,0,0
2026-W30,CLT-1042,eCommerce,Pro,844.2,Paid,2,1,0,0
2026-W30,CLT-1043,SaaS,Pro,1120.87,Paid,3,1,0,0
2026-W30,CLT-1044,Education,Pro,845.13,Paid,3,1,0,0
2026-W30,CLT-1045,Education,Pro,948.99,Paid,2,1,0,0
2026-W30,CLT-1046,SaaS,Basic,356.29,Paid,2,1,0,0
2026-W30,CLT-1047,Real Estate,enterprise,1051.46,Late,1,1,0,0
2026-W30,CLT-1048,Real Estate,Pro,989.15,Late,1,0,0,0
2026-W30,CLT-1049,Logistics,Enterprise,3032.93,Paid,1,0,0,0
2026-W30,CLT-1050,Healthcare,Basic,317.89,Paid,2,1,0,0
2026-W30,CLT-1051,Education,Pro,1016.26,Paid,0,1,0,0
2026-W30,CLT-1052,Real Estate,Basic,365.55,Paid,3,1,0,0
2026-W30,CLT-1053,eCommerce,Basic,346.54,Paid,1,1,0,0
